Model,Best_Test_Score,Best_CV_Score,Best_Gen_Balls_Pur,Best_Gen_Balls_Num,Best_Model_Params
OVR_GBTSVM,0.9333333333333333,,2,2,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,0.8666666666666667,,1,2,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
