Model,Gen_Balls_Pur,Gen_Balls_Num,CV_Score,Test_Score,Best_Params
OVR_GBTSVM,1,2,,0.8452380952380952,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,7,2,,0.8214285714285714,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,5,2,,0.8214285714285714,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,2,2,,0.8214285714285714,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,7,2,,0.8095238095238095,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,10,3,,0.8095238095238095,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,10,2,,0.8095238095238095,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,5,4,,0.7976190476190477,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,5,3,,0.7976190476190477,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,1,3,,0.7857142857142857,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,10,3,,0.7738095238095238,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,1,3,,0.7738095238095238,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,5,3,,0.7738095238095238,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,2,3,,0.7738095238095238,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,10,2,,0.7738095238095238,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,5,5,,0.7619047619047619,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,10,5,,0.7619047619047619,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,7,5,,0.7619047619047619,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,5,2,,0.7619047619047619,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,7,5,,0.75,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,2,4,,0.75,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,10,4,,0.75,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
