Model,Best_Test_Score,Best_CV_Score,Best_Gen_Balls_Pur,Best_Gen_Balls_Num,Best_Model_Params
OVR_GBTSVM,0.6875,,5,3,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,0.625,,2,3,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
